İngilizce,Türkçe,Okunuş,Seviye,Kategori
accept,kabul etmek,ık-SEPT,A2,Fiiller — temel
achieve,"başarmak, elde etmek",ı-ÇİİV,B1,Fiiller — temel
add,eklemek,ed,A2,Fiiller — temel
admit,"itiraf etmek, kabul etmek",ıd-MİT,B1,Fiiller — temel
advise,tavsiye etmek,ıd-VAYZ,B1,Fiiller — temel
afford,parası yetmek,ı-FORD,B1,Fiiller — temel
agree,"katılmak, anlaşmak",ıg-Rİİ,A2,Fiiller — temel
allow,izin vermek,ı-LAU,A2,Fiiller — temel
announce,duyurmak,ı-NAUNS,B1,Fiiller — temel
apologize,özür dilemek,ı-PO-lı-cayz,A2,Fiiller — temel
appear,"görünmek, ortaya çıkmak",ı-PİİR,B1,Fiiller — temel
apply,"başvurmak, uygulamak",ıp-LAY,B1,Fiiller — temel
argue,tartışmak,AR-gyu,B1,Fiiller — temel
arrange,"ayarlamak, düzenlemek",ı-REYNC,B1,Fiiller — temel
arrive,varmak,ı-RAYV,A2,Fiiller — temel
attend,katılmak (etkinliğe),ı-TEND,B1,Fiiller — temel
avoid,kaçınmak,ı-VOYD,B1,Fiiller — temel
become,"olmak, haline gelmek",bi-KAM,A2,Fiiller — temel
believe,inanmak,bi-LİİV,A2,Fiiller — temel
belong,ait olmak,bi-LONG,B1,Fiiller — temel
borrow,ödünç almak,BO-rou,A2,Fiiller — temel
break,"kırmak, bozmak",breyk,A2,Fiiller — temel
bring,getirmek,bring,A2,Fiiller — temel
build,"inşa etmek, kurmak",bild,A2,Fiiller — temel
buy,satın almak,bay,A2,Fiiller — temel
cancel,iptal etmek,KEN-sıl,A2,Fiiller — temel
carry,taşımak,KE-ri,A2,Fiiller — temel
catch,yakalamak,keç,A2,Fiiller — temel
change,değiştirmek,çeync,A2,Fiiller — temel
check,kontrol etmek,çek,A2,Fiiller — temel
choose,seçmek,çuuz,A2,Fiiller — temel
clean,temizlemek,kliin,A2,Fiiller — temel
climb,tırmanmak,klaym,A2,Fiiller — temel
close,kapatmak,klouz,A2,Fiiller — temel
collect,toplamak,kı-LEKT,B1,Fiiller — temel
compare,karşılaştırmak,kım-PEER,B1,Fiiller — temel
complain,şikâyet etmek,kım-PLEYN,B1,Fiiller — temel
complete,tamamlamak,kım-PLİİT,B1,Fiiller — temel
connect,bağlamak,kı-NEKT,A2,Fiiller — temel
consider,göz önünde bulundurmak,kın-Sİ-dır,B1,Fiiller — temel
contain,içermek,kın-TEYN,B1,Fiiller — temel
continue,devam etmek,kın-Tİ-nyu,A2,Fiiller — temel
control,kontrol etmek,kın-TROUL,B1,Fiiller — temel
cook,yemek pişirmek,kuk,A2,Fiiller — temel
copy,kopyalamak,KO-pi,A2,Fiiller — temel
cost,"mal olmak, tutmak",kost,A2,Fiiller — temel
count,saymak,kaunt,A2,Fiiller — temel
cover,"kapatmak, kapsamak",KA-vır,B1,Fiiller — temel
create,"yaratmak, oluşturmak",kri-EYT,B1,Fiiller — temel
cross,karşıya geçmek,kros,A2,Fiiller — temel
cut,kesmek,kat,A2,Fiiller — temel
decide,karar vermek,di-SAYD,A2,Fiiller — temel
deliver,teslim etmek,di-Lİ-vır,B1,Fiiller — temel
depend,bağlı olmak,di-PEND,B1,Fiiller — temel
describe,"tarif etmek, anlatmak",dis-KRAYB,A2,Fiiller — temel
design,tasarlamak,di-ZAYN,B1,Fiiller — temel
destroy,yok etmek,dis-TROY,B1,Fiiller — temel
develop,geliştirmek,di-VE-lıp,B1,Fiiller — temel
die,ölmek,day,A2,Fiiller — temel
discover,keşfetmek,dis-KA-vır,B1,Fiiller — temel
discuss,"görüşmek, tartışmak",dis-KAS,B1,Fiiller — temel
divide,bölmek,di-VAYD,B1,Fiiller — temel
draw,çizmek,dro,A2,Fiiller — temel
drive,araba sürmek,drayv,A2,Fiiller — temel
drop,"düşürmek, bırakmak",drop,A2,Fiiller — temel
earn,kazanmak (para),örn,B1,Fiiller — temel
enjoy,keyif almak,in-COY,A2,Fiiller — temel
enter,girmek,EN-tır,A2,Fiiller — temel
examine,incelemek,ig-ZE-min,B2,Fiiller — temel
exist,var olmak,ig-ZİST,B1,Fiiller — temel
expect,beklemek (ummak),iks-PEKT,B1,Fiiller — temel
explain,açıklamak,iks-PLEYN,A2,Fiiller — temel
explore,"keşfetmek, araştırmak",iks-PLOR,B1,Fiiller — temel
fail,başarısız olmak,feyl,B1,Fiiller — temel
fall,düşmek,fol,A2,Fiiller — temel
feed,beslemek,fiid,A2,Fiiller — temel
feel,hissetmek,fiil,A2,Fiiller — temel
fight,kavga etmek,fayt,A2,Fiiller — temel
fill,doldurmak,fil,A2,Fiiller — temel
find,bulmak,faynd,A2,Fiiller — temel
finish,bitirmek,Fİ-niş,A2,Fiiller — temel
fit,uymak (beden),fit,A2,Fiiller — temel
fix,"tamir etmek, düzeltmek",fiks,A2,Fiiller — temel
fly,uçmak,flay,A2,Fiiller — temel
follow,takip etmek,FO-lou,A2,Fiiller — temel
forget,unutmak,fır-GET,A2,Fiiller — temel
forgive,affetmek,fır-GİV,B1,Fiiller — temel
gain,"kazanmak, elde etmek",geyn,B2,Fiiller — temel
gather,"toplamak, bir araya gelmek",GE-dır,B2,Fiiller — temel
grow,"büyümek, yetiştirmek",grou,A2,Fiiller — temel
guess,tahmin etmek,ges,A2,Fiiller — temel
handle,üstesinden gelmek,HEN-dıl,B2,Fiiller — temel
happen,"olmak, gerçekleşmek",HE-pın,A2,Fiiller — temel
hate,nefret etmek,heyt,A2,Fiiller — temel
hide,"saklamak, saklanmak",hayd,A2,Fiiller — temel
hold,tutmak,hould,A2,Fiiller — temel
hope,ummak,houp,A2,Fiiller — temel
hurry,acele etmek,HA-ri,A2,Fiiller — temel
hurt,"incitmek, canı yanmak",hört,A2,Fiiller — temel
imagine,hayal etmek,i-ME-cin,B1,Fiiller — temel
improve,"geliştirmek, iyileşmek",im-PRUUV,B1,Fiiller — temel
include,dahil etmek,in-KLUUD,B1,Fiiller — temel
increase,"artmak, artırmak",in-KRİİS,B1,Fiiller — temel
invite,davet etmek,in-VAYT,A2,Fiiller — temel
join,katılmak,coyn,A2,Fiiller — temel
jump,atlamak,camp,A2,Fiiller — temel
keep,"tutmak, saklamak",kiip,A2,Fiiller — temel
kill,öldürmek,kil,A2,Fiiller — temel
knock,kapıyı çalmak,nok,A2,Fiiller — temel
laugh,gülmek,laf,A2,Fiiller — temel
lead,"önderlik etmek, yol açmak",liid,B1,Fiiller — temel
learn,öğrenmek,lörn,A2,Fiiller — temel
leave,"ayrılmak, bırakmak",liiv,A2,Fiiller — temel
lend,ödünç vermek,lend,B1,Fiiller — temel
lie,yalan söylemek; uzanmak,lay,A2,Fiiller — temel
lift,kaldırmak,lift,A2,Fiiller — temel
listen,dinlemek,Lİ-sın,A2,Fiiller — temel
lose,kaybetmek,luuz,A2,Fiiller — temel
maintain,"sürdürmek, bakımını yapmak",meyn-TEYN,B2,Fiiller — temel
manage,"yönetmek, üstesinden gelmek",ME-nic,B1,Fiiller — temel
mean,anlamına gelmek,miin,A2,Fiiller — temel
measure,ölçmek,ME-jır,B1,Fiiller — temel
meet,"buluşmak, tanışmak",miit,A2,Fiiller — temel
mention,bahsetmek,MEN-şın,B1,Fiiller — temel
miss,"kaçırmak, özlemek",mis,A2,Fiiller — temel
mix,karıştırmak,miks,A2,Fiiller — temel
move,"hareket etmek, taşınmak",muuv,A2,Fiiller — temel
notice,fark etmek,NOU-tis,B1,Fiiller — temel
offer,teklif etmek,O-fır,B1,Fiiller — temel
order,sipariş vermek,OR-dır,A2,Fiiller — temel
organize,düzenlemek,OR-gı-nayz,B1,Fiiller — temel
own,sahip olmak,oun,B1,Fiiller — temel
pay,ödemek,pey,A2,Fiiller — iş & iletişim
perform,"gerçekleştirmek, sahne almak",pır-FORM,B2,Fiiller — iş & iletişim
pick,"seçmek, almak",pik,A2,Fiiller — iş & iletişim
plan,planlamak,plen,A2,Fiiller — iş & iletişim
point,işaret etmek,poynt,A2,Fiiller — iş & iletişim
practice,pratik yapmak,PREK-tis,A2,Fiiller — iş & iletişim
prefer,tercih etmek,pri-FÖR,A2,Fiiller — iş & iletişim
prepare,hazırlamak,pri-PEER,A2,Fiiller — iş & iletişim
present,sunmak,pri-ZENT,B1,Fiiller — iş & iletişim
prevent,engellemek,pri-VENT,B1,Fiiller — iş & iletişim
produce,üretmek,prı-DYUS,B1,Fiiller — iş & iletişim
promise,söz vermek,PRO-mis,A2,Fiiller — iş & iletişim
protect,korumak,prı-TEKT,B1,Fiiller — iş & iletişim
prove,kanıtlamak,pruuv,B1,Fiiller — iş & iletişim
provide,sağlamak,prı-VAYD,B1,Fiiller — iş & iletişim
publish,yayımlamak,PAB-liş,B1,Fiiller — iş & iletişim
pull,çekmek,pul,A2,Fiiller — iş & iletişim
push,itmek,puş,A2,Fiiller — iş & iletişim
raise,"yükseltmek, yetiştirmek",reyz,B1,Fiiller — iş & iletişim
reach,ulaşmak,riiç,B1,Fiiller — iş & iletişim
realize,fark etmek,Rİ-ı-layz,B1,Fiiller — iş & iletişim
receive,almak (teslim),ri-SİİV,B1,Fiiller — iş & iletişim
recognize,tanımak,RE-kıg-nayz,B1,Fiiller — iş & iletişim
recommend,tavsiye etmek,re-kı-MEND,B1,Fiiller — iş & iletişim
reduce,azaltmak,ri-DYUS,B1,Fiiller — iş & iletişim
refuse,reddetmek,ri-FYUZ,B1,Fiiller — iş & iletişim
remain,kalmak (öyle kalmak),ri-MEYN,B2,Fiiller — iş & iletişim
remember,hatırlamak,ri-MEM-bır,A2,Fiiller — iş & iletişim
remind,hatırlatmak,ri-MAYND,B1,Fiiller — iş & iletişim
remove,"kaldırmak, çıkarmak",ri-MUUV,B1,Fiiller — iş & iletişim
repair,tamir etmek,ri-PEER,B1,Fiiller — iş & iletişim
repeat,tekrar etmek,ri-PİİT,A2,Fiiller — iş & iletişim
